subjectid,targetId,angleTarget,view1,figure1,angle1,angleProbe,stimulus,block,resp,rt,img1Txt,T1Onset,delayOnset,probeOnset,adjustHistory,Error
99,2,42,2,Fe,42,53,Body,1,53,1.60176079999655,46,1.24350450000202,3.57779730000766,6.00204370000574,53,11
99,2,36,1,Ma,36,49,Body,1,49,0.515578899998218,115,8.82286749999912,11.1557620000094,13.7075068999984,49,13
99,1,48,1,Ma,48,32,Body,1,32,0.517562499997439,139,15.5525679999992,17.9869542000088,20.5693972000008,32,-16
99,2,30,1,Fe,30,56,Body,1,56,0.48358410000219,21,22.3026959999988,24.6358638999955,27.2858342999971,56,26
99,1,30,1,Fe,30,34,Body,1,34,0.600505800000974,21,29.0241945000016,31.3692147999973,33.768942499999,34,4
99,2,42,2,Fe,42,53,Bar,2,53,0.468562699999893,46,39.7190245000093,41.9190998999984,44.3368290000071,53,11
99,2,36,1,Ma,36,49,Bar,2,49,0.550433099997463,115,45.9356704000093,48.1687654999987,50.5695010000054,49,13
99,1,48,1,Ma,48,32,Bar,2,32,0.586672800011002,139,52.2691728000063,54.4690869000042,56.8688153999974,32,-16
99,2,30,1,Fe,30,56,Bar,2,56,0.133868200005963,21,58.7385452000017,60.9387041000009,63.3526746999996,56,26
99,1,30,1,Fe,30,34,Bar,2,34,0.417302000001655,21,64.6354731000029,66.869503000009,69.2862642999971,34,4
